,GapToLeader,Incidents,GapToLeaderText
0,0,0,00:00.000
1,6193,1,00:06.193
2,6802,2,00:06.802
3,7643,1,00:07.643
4,7897,1,00:07.897
5,7901,1,00:07.901
6,8464,1,00:08.464
7,9779,1,00:09.779
8,11201,1,00:11.201
9,11344,1,00:11.344
10,11707,1,00:11.707
11,11766,1,00:11.766
12,11810,1,00:11.810
13,11995,1,00:11.995
14,12012,2,00:12.012
15,12027,2,00:12.027
16,13051,1,00:13.051
17,13115,1,00:13.115
18,13116,2,00:13.116
19,13224,1,00:13.224
20,13371,1,00:13.371
21,13597,1,00:13.597
22,13646,2,00:13.646
23,14198,1,00:14.198
24,14985,1,00:14.985
25,15218,1,00:15.218
26,15886,1,00:15.886
27,15994,1,00:15.994
28,16363,3,00:16.363
29,16883,1,00:16.883
30,17779,1,00:17.779
31,17953,1,00:17.953
32,18809,1,00:18.809
33,19795,1,00:19.795
34,19847,1,00:19.847
35,19995,1,00:19.995
36,20402,1,00:20.402
37,20634,1,00:20.634
38,21069,1,00:21.069
39,21079,1,00:21.079
40,21123,1,00:21.123
41,21298,1,00:21.298
42,21507,1,00:21.507
43,22129,1,00:22.129
44,22249,2,00:22.249
45,22498,1,00:22.498
46,22568,1,00:22.568
47,22579,1,00:22.579
48,22646,1,00:22.646
49,22739,1,00:22.739
50,22926,1,00:22.926
51,22972,1,00:22.972
52,23420,1,00:23.420
53,23632,1,00:23.632
54,23722,1,00:23.722
55,23769,3,00:23.769
56,24356,2,00:24.356
57,24442,1,00:24.442
58,24869,1,00:24.869
59,24952,1,00:24.952
60,26027,1,00:26.027
61,26221,1,00:26.221
62,26316,1,00:26.316
63,26786,2,00:26.786
64,27207,1,00:27.207
65,28324,1,00:28.324
66,29197,1,00:29.197
67,29906,1,00:29.906
68,30309,2,00:30.309
69,30416,1,00:30.416
70,30523,1,00:30.523
71,30564,1,00:30.564
72,30572,1,00:30.572
73,30674,3,00:30.674
74,30857,1,00:30.857
75,31113,1,00:31.113
76,31741,2,00:31.741
77,32027,1,00:32.027
78,32209,1,00:32.209
79,32866,1,00:32.866
80,32882,1,00:32.882
81,32999,1,00:32.999
82,33014,1,00:33.014
83,33119,2,00:33.119
84,33750,1,00:33.750
85,34348,1,00:34.348
86,34422,1,00:34.422
87,35189,2,00:35.189
88,35497,2,00:35.497
89,36043,1,00:36.043
90,36280,1,00:36.280
91,36298,1,00:36.298
92,36813,1,00:36.813
93,37113,1,00:37.113
94,38676,1,00:38.676
95,38861,1,00:38.861
96,38895,1,00:38.895
97,38956,1,00:38.956
98,39305,1,00:39.305
99,39360,1,00:39.360
100,39902,1,00:39.902
101,40648,1,00:40.648
102,41066,1,00:41.066
103,42123,1,00:42.123
104,42175,1,00:42.175
105,42406,1,00:42.406
106,42632,1,00:42.632
107,42840,1,00:42.840
108,43092,2,00:43.092
109,43809,1,00:43.809
110,44071,1,00:44.071
111,44455,1,00:44.455
112,44793,1,00:44.793
113,44983,1,00:44.983
114,45892,1,00:45.892
115,46693,2,00:46.693
116,47870,1,00:47.870
117,48144,1,00:48.144
118,48321,1,00:48.321
119,49261,1,00:49.261
120,49453,1,00:49.453
121,49608,1,00:49.608
122,50894,1,00:50.894
123,50921,2,00:50.921
124,51785,1,00:51.785
125,51974,1,00:51.974
126,52285,1,00:52.285
127,52615,1,00:52.615
128,53530,2,00:53.530
129,53665,1,00:53.665
130,53791,1,00:53.791
131,53845,2,00:53.845
132,53924,1,00:53.924
133,55510,1,00:55.510
134,55635,1,00:55.635
135,55861,1,00:55.861
136,56170,2,00:56.170
137,56253,1,00:56.253
138,56408,2,00:56.408
139,56532,1,00:56.532
140,58069,1,00:58.069
141,58634,1,00:58.634
142,59622,3,00:59.622
143,59686,2,00:59.686
144,59751,1,00:59.751
145,60128,1,01:00.128
146,60903,1,01:00.903
147,61041,1,01:01.041
148,61147,1,01:01.147
149,61769,1,01:01.769
150,62529,1,01:02.529
151,63481,1,01:03.481
152,63826,1,01:03.826
153,64013,1,01:04.013
154,64542,1,01:04.542
155,64850,1,01:04.850
156,65015,2,01:05.015
157,65322,1,01:05.322
158,65676,1,01:05.676
159,65738,1,01:05.738
160,66359,2,01:06.359
161,66696,1,01:06.696
162,66772,1,01:06.772
163,67127,2,01:07.127
164,67192,1,01:07.192
165,67243,2,01:07.243
166,67360,1,01:07.360
